latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
30.439722222222,-84.346388888889,"Tallahassee,FL",2022-11-07 20:00:00,45,1,60,na,10.2,na,45
33.569166666667,-112.19138888889,"Peoria,IL",2022-11-07 19:00:00,22,12.3,25,36.2,22.4,18,18
39.7394,-75.5581,"Wilmington,NC",2022-11-07 21:00:00,36,3.4,54,na,18.4,na,36
32.4069,-86.2564,"Montgomery,AL",2022-11-07 20:00:00,25,na,80,na,na,na,25
33.410277777778,-111.865,"Gilbert,AZ",2022-11-07 19:00:00,47,6.7,22,na,6.4,30,47
33.569166666667,-112.19138888889,"Glendale,AZ",2022-11-07 19:00:00,22,12.3,25,36.2,22.4,18,18
36.19126,-115.12293,"North Las Vegas,NV",2020-02-08 19:00:00,7,0.1,na,6.6,7.4,24,21
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
46.21835,-119.20152,"Kennewick,WA",2022-11-07 20:00:00,8,na,97,na,na,8,5
na,na,na,na,na,na,na,na,na,na,na
32.8200608,-96.8601165,"Irving,TX",2022-11-07 21:00:00,10,2.3,91.5,7.9,9.6,15,9
36.33252,-119.29095,"Visalia,CA",2021-12-15 09:00:00,30,na,79,6.5,15.2,7,30
na,na,na,na,na,na,na,na,na,na,na
36.1397,-115.17565,"Paradise,NV",2021-05-18 05:00:00,40,0.1,32.5,6.3,11.8,33,40
na,na,na,na,na,na,na,na,na,na,na
32.6563574,-97.0885849,"Arlington,VA",2022-11-07 21:00:00,3,na,88,15.3,3.2,na,na
25.794722222222,-80.215555555556,"Hialeah,FL",2022-11-07 20:00:00,34,1.9,88,na,13,19,34
53.951889,-1.075861,"York,PA",2022-11-08 02:00:00,17,3.2,79.2,1.9,21,12,17
38.0133,-87.5772,"Evansville,IN",2022-11-07 20:00:00,23,na,37,3.8,23.3,22,22
41.9136,-87.7239,"Avondale,AZ",2022-11-07 20:00:00,26,na,64,na,na,na,26
25.8925176,-97.4938295,"Brownsville,TX",na,-,na,94,na,na,na,na
30.39,-89.0497,"Gulfport,MS",2022-11-07 20:00:00,40,na,94,na,na,na,40
44.30738,-88.39509,"Appleton,WI",2022-11-07 20:00:00,25,na,65.6,na,18.1,na,25
47.592675,-122.62739,"Bremerton,WA",2022-11-07 20:00:00,25,na,98,na,na,na,25
35.73,-81.37,"Hickory,NC",2022-11-07 21:00:00,38,na,93,na,na,na,38
47.22634,-122.46256,"Tacoma,WA",2022-11-07 20:00:00,21,na,96,25.8,na,na,21
19.409853333333,-98.150011111111,"San Bernardino,CA",2022-11-07 20:00:00,60,3.5,48,9.7,19.5,24,60
na,na,na,na,na,na,na,na,na,na,na
42.2917069,-85.5872286,"Kalamazoo,MI",2022-11-07 21:00:00,51,na,69,na,na,na,51
34.21014,-118.8705,"Thousand Oaks,CA",2022-11-07 18:00:00,26,na,86,na,26.4,na,17
37.28342,-79.88452,"Roanoke,VA",2022-11-07 21:00:00,17,0.1,40.5,1.2,15.5,na,17
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
