aqi_date_loc,time_updated,o3,pm10,pm25
"2,Charleston,SC",2022-07-06 13:00:00,15,12,38
"3,Charleston,SC",2022-07-06 13:00:00,8,5,18
"4,Charleston,SC",2022-07-06 13:00:00,5,3,10
"1,Springfield,MA",2022-11-07 20:00:00,11,10,38
"2,Springfield,MA",2022-11-07 20:00:00,10,12,46
"3,Springfield,MA",2022-11-07 20:00:00,16,9,35
"4,Springfield,MA",2022-11-07 20:00:00,13,2,6
"5,Springfield,MA",2022-11-07 20:00:00,16,2,4
"1,Grand Rapids,MI",2022-11-07 21:00:00,10,3,9
"2,Grand Rapids,MI",2022-11-07 21:00:00,10,8,27
"3,Grand Rapids,MI",2022-11-07 21:00:00,14,17,59
"4,Grand Rapids,MI",2022-11-07 21:00:00,12,9,30
"5,Grand Rapids,MI",2022-11-07 21:00:00,12,1,3
na,na,na,na,na
"1,Albany,NY",2022-11-07 21:00:00,12,2,5
"2,Albany,NY",2022-11-07 21:00:00,11,4,11
"3,Albany,NY",2022-11-07 21:00:00,10,15,45
"4,Albany,NY",2022-11-07 21:00:00,8,12,31
"5,Albany,NY",2022-11-07 21:00:00,10,2,7
"1,Knoxville,TN",2022-11-07 21:00:00,13,10,35
"2,Knoxville,TN",2022-11-07 21:00:00,9,7,25
"3,Knoxville,TN",2022-11-07 21:00:00,10,6,16
"4,Knoxville,TN",2022-11-07 21:00:00,6,5,15
"5,Knoxville,TN",2022-11-07 21:00:00,9,4,13
"1,Bakersfield,CA",2022-11-07 18:00:00,11,4,10
"2,Bakersfield,CA",2022-11-07 18:00:00,5,7,19
"3,Bakersfield,CA",2022-11-07 18:00:00,3,12,40
"4,Bakersfield,CA",2022-11-07 18:00:00,3,22,59
"5,Bakersfield,CA",2022-11-07 18:00:00,5,25,56
"1,Ogden,UT",2022-11-07 19:00:00,9,4,14
"2,Ogden,UT",2022-11-07 19:00:00,13,2,6
"3,Ogden,UT",2022-11-07 19:00:00,10,6,18
"4,Ogden,UT",2022-11-07 19:00:00,6,12,44
"5,Ogden,UT",2022-11-07 19:00:00,11,9,34
"1,Baton Rouge,LA",2022-11-07 20:00:00,6,14,42
"2,Baton Rouge,LA",2022-11-07 20:00:00,8,13,46
"3,Baton Rouge,LA",2022-11-07 20:00:00,8,14,41
"4,Baton Rouge,LA",2022-11-07 20:00:00,9,14,43
"5,Baton Rouge,LA",2022-11-07 20:00:00,10,4,14
"1,Akron,OH",2022-11-07 21:00:00,9,4,9
"2,Akron,OH",2022-11-07 21:00:00,9,6,16
"3,Akron,OH",2022-11-07 21:00:00,12,9,25
"4,Akron,OH",2022-11-07 21:00:00,9,6,16
"5,Akron,OH",2022-11-07 21:00:00,10,3,9
"1,New Haven,CT",2022-11-07 21:00:00,13,2,4
"2,New Haven,CT",2022-11-07 21:00:00,14,3,8
"3,New Haven,CT",2022-11-07 21:00:00,11,13,29
"4,New Haven,CT",2022-11-07 21:00:00,9,20,40
"5,New Haven,CT",2022-11-07 21:00:00,13,4,12
"1,Columbia,SC",2022-11-07 20:00:00,11,11,43
"2,Columbia,SC",2022-11-07 20:00:00,9,8,28
"3,Columbia,SC",2022-11-07 20:00:00,13,6,13
"4,Columbia,SC",2022-11-07 20:00:00,5,7,22
"5,Columbia,SC",2022-11-07 20:00:00,14,3,7
"1,Mesa,AZ",2022-11-07 19:00:00,3,31,55
"2,Mesa,AZ",2022-11-07 19:00:00,10,17,22
"3,Mesa,AZ",2022-11-07 19:00:00,4,30,63
"4,Mesa,AZ",2022-11-07 19:00:00,7,21,39
"5,Mesa,AZ",2022-11-07 19:00:00,14,19,26
"1,Palm Bay,FL",2022-11-07 20:00:00,19,20,29
"2,Palm Bay,FL",2022-11-07 20:00:00,18,12,29
"3,Palm Bay,FL",2022-11-07 20:00:00,13,4,12
"4,Palm Bay,FL",2022-11-07 20:00:00,14,4,14
"5,Palm Bay,FL",2022-11-07 20:00:00,14,9,25
"1,Provo,UT",2022-11-07 19:00:00,9,8,18
"2,Provo,UT",2022-11-07 19:00:00,9,4,13
"3,Provo,UT",2022-11-07 19:00:00,13,4,8
"4,Provo,UT",2022-11-07 19:00:00,11,14,45
"5,Provo,UT",2022-11-07 19:00:00,12,19,63
"1,Worcester,MA",2022-11-07 21:00:00,14,2,4
"2,Worcester,MA",2022-11-07 21:00:00,9,5,13
"3,Worcester,MA",2022-11-07 21:00:00,13,12,31
"4,Worcester,MA",2022-11-07 21:00:00,13,12,24
"5,Worcester,MA",2022-11-07 21:00:00,13,3,6
na,na,na,na,na
"1,Greenville,SC",2022-11-07 20:00:00,15,5,17
"2,Greenville,SC",2022-11-07 20:00:00,17,12,11
"3,Greenville,SC",2022-11-07 20:00:00,14,10,14
"4,Greenville,SC",2022-11-07 20:00:00,15,6,14
"5,Greenville,SC",2022-11-07 20:00:00,12,3,10
"1,Wichita,KS",2022-11-07 20:00:00,7,5,19
"2,Wichita,KS",2022-11-07 20:00:00,12,9,28
