avg_coord,x_y_grid_pt,city_state,current_temp,wind,description,avg_dni,avg_ghi,avg_lat_tilt
-26.3327,"41, 33","Gainesville,FL",64.0,7 mph,Mostly Clear,NaN,NaN,NaN
-31.833,"88, 120","Frisco,TX",68.0,10 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy,NaN,NaN,NaN
-16.460400000000003,"35, 45","Yonkers,NY",44.0,9 to 13 mph,Mostly Clear,NaN,NaN,NaN
-15.26935,"91, 82","Norwich,CT",41.0,10 mph,Clear,NaN,NaN,NaN
-42.0325,"155, 50","Glendale,CA",50.0,10 to 15 mph,Rain Showers then Rain,NaN,NaN,NaN
-42.15325,"32, 61","Huntington Beach,CA",56.0,5 to 15 mph,Rain Showers Likely then Light Rain,NaN,NaN,NaN
-26.15435,"31, 85","Deltona,FL",70.0,10 mph,Slight Chance Rain Showers,NaN,NaN,NaN
-39.27185,"163, 53","Tempe,AZ",53.0,0 to 5 mph,Mostly Clear,NaN,NaN,NaN
-27.9,"39, 40","Overland Park,KS",48.0,10 mph,Mostly Cloudy,NaN,NaN,NaN
-32.16685,"80, 99","Grand Prairie,TX",67.0,5 mph,Mostly Cloudy,NaN,NaN,NaN
-39.43525,"125, 97","Sunrise Manor,NV",54.0,15 mph,Partly Cloudy,NaN,NaN,NaN
-32.814150000000005,"73, 49","Waco,TX",66.0,5 mph,Partly Cloudy,NaN,NaN,NaN
-42.47165,"103, 52","Salinas,CA",47.0,8 to 21 mph,Rain Showers,NaN,NaN,NaN
-25.38625,"28, 73","Clarksville,TN",53.0,5 mph,Mostly Cloudy,NaN,NaN,NaN
-24.85585,"28, 85","Cedar Rapids,IA",33.0,10 mph,Mostly Clear,NaN,NaN,NaN
-22.01175,"33, 66","Huntington,WV",41.0,6 mph,Partly Cloudy,NaN,NaN,NaN
-41.78355,"49, 73","Ontario,CA",52.0,0 to 10 mph,Rain Showers Likely then Light Rain,NaN,NaN,NaN
-19.0408,"68, 102","Hagerstown,MD",39.0,12 mph,Mostly Clear,NaN,NaN,NaN
-18.978250000000003,"134, 98","Erie,PA",41.0,9 to 14 mph,Partly Cloudy,NaN,NaN,NaN
-38.48005,"115, 108","Vancouver,WA",35.0,6 mph,Chance Rain Showers then Areas Of Frost,NaN,NaN,NaN
-36.4893,"120, 85","Nampa,ID",32.0,8 mph,Mostly Cloudy,NaN,NaN,NaN
-23.491000000000003,"80, 47","Spartanburg,SC",57.0,6 to 9 mph,Partly Cloudy,NaN,NaN,NaN
-22.96795,"105, 64","Gastonia,NC",56.0,9 mph,Partly Cloudy,NaN,NaN,NaN
-27.0026,"109, 66","Fort Lauderdale,FL",74.0,15 mph,Partly Cloudy then Slight Chance Rain Showers,NaN,NaN,NaN
-20.37155,"66, 60","Lorain,OH",44.0,13 mph,Partly Cloudy,NaN,NaN,NaN
-25.28135,"63, 43","Murfreesboro,TN",55.0,5 mph,Partly Cloudy,NaN,NaN,NaN
-19.7067,"80, 61","Newport News,VA",49.0,9 to 17 mph,Clear,NaN,NaN,NaN
-41.7209,"51, 77","Rancho Cucamonga,CA",49.0,5 to 10 mph,Rain Showers Likely then Light Rain,NaN,NaN,NaN
-41.6314,"69, 56","Hemet,CA",50.0,10 mph,Rain Showers Likely then Light Rain Likely,NaN,NaN,NaN
-42.52785,"91, 67","Santa Cruz,CA",45.0,10 to 18 mph,Rain Showers,NaN,NaN,NaN
-16.0347,"46, 68","Danbury,CT",40.0,8 mph,Mostly Clear,NaN,NaN,NaN
-39.25725,"152, 73","Peoria,AZ",51.0,0 to 5 mph,Mostly Clear,NaN,NaN,NaN
