lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"41.063526,-81.468956",41.063526,-81.468956,"Center,NE",11/8/2022 4:00,16,na,64,na,na,na,16
"51.601203,-2.977281",51.601203,-2.977281,"Newport,NE",11/8/2022 9:00,34,na,89,5.5,26,19,34
"-41.638,147.967",-41.638,147.967,"Fingal,ND",11/8/2022 18:00,9,na,89.1,na,na,8,9
"38.56844,-121.49311",38.56844,-121.49311,"Sacramento,NM",11/7/2022 21:00,8,na,86,6.5,0.1,5,8
"49.957927777778,14.0583",49.95792778,14.0583,"Verona,ND",11/8/2022 9:00,59,na,99,11.8,14.9,20,59
"37.95075,-121.26897",37.95075,-121.26897,"Stockton,MD",11/5/2021 10:00,42,2.4,55,6.5,16.8,15,42
"49.007958333227,8.3871888889207",49.00795833,8.387188889,"Karlsruhe,ND",11/8/2022 10:00,29,na,88,26.1,1.3,12,29
"41.8932669,12.4753855",41.8932669,12.4753855,"Loma,MT",11/6/2022 23:00,25,na,58,9.6,15.1,9,25
"51.5073509,-0.1277583",51.5073509,-0.1277583,"Holloway,MN",11/8/2022 9:00,42,2.6,78.2,28.5,6.1,22,42
"39.12886,-84.50404",39.12886,-84.50404,"Sharpsburg,IA",11/8/2022 4:00,30,1.2,39,5.8,23.3,19,30
"40.515,-78.3889",40.515,-78.3889,"Altoona,FL",11/8/2022 3:00,25,na,71,na,32,14,25
"33.859444,-118.200278",33.859444,-118.200278,"Willowbrook,KS",11/7/2022 20:00,33,na,93,15.1,na,na,33
"40.597988305117,-111.89417474947",40.59798831,-111.8941747,"Riverton,NE",11/8/2022 2:00,26,0.7,42,1.9,25.6,na,18
"45.81504217,9.06697886",45.81504217,9.06697886,"Como,NC",11/6/2022 23:00,34,0.1,82.7,24.7,20.8,11,34
"43.145021,-77.557608",43.145021,-77.557608,"Rochester,IA",11/8/2022 4:00,24,3.1,83,5.9,10.4,na,24
"51.149617,-1.438228",51.149617,-1.438228,"Andover,SD",11/8/2022 9:00,33,na,87,1,32.5,11,30
"52.199575,0.12774",52.199575,0.12774,"Cambridge,KS",5/13/2022 9:00,30,na,61.7,5.1,25,11,30
"42.3149367,-83.0363633",42.3149367,-83.0363633,"Detroit,IL",11/8/2022 4:00,30,1.7,70,5.6,13.6,na,30
"24.7955,84.9994",24.7955,84.9994,"Gay,GA",11/8/2022 15:00,152,11.1,63.25,4,4.1,na,152
